Title;Brand;Kategorie;ml;Preis;Preis pro 100 ml
Red Door Shimmer Femme;Elizabeth Arden;Eau de Parfum;100;29.9;29.9
ArpÃ¨ge;Lanvin;Eau de Parfum;100;34.9;34.9
Pleasures Femme;EstÃ©e Lauder;Eau de Parfum;30;34.9;116.33333333333333
Femme;Hugo Boss;Eau de Parfum;75;42.9;57.199999999999996
J'adore in Joy;Dior;Eau de Toilette;100;99.0;99.0
Youth-Dew;EstÃ©e Lauder;Eau de Parfum;67;34.9;52.08955223880597
Love Story Eau Sensuelle;ChloÃ©;Eau de Parfum;30;49.9;166.33333333333334
Flower Eau Florale;Kenzo;Eau de Toilette;50;39.9;79.8
Aromatics in Black;Clinique;Eau de Parfum;30;34.9;116.33333333333333
& Co.;Tiffany;Eau de Parfum;50;64.9;129.8
Brit For Woman;Burberry;Eau de Parfum;50;34.9;69.8
La Petite Robe Noire Ma Robe Cocktail;Guerlain;Eau de Toilette;100;54.9;54.89999999999999
My  Black;Burberry;Eau de Parfum;30;39.9;132.99999999999997
TrÃ©sor Lumineuse;LancÃ´me;Eau de Parfum;50;59.9;119.8
Beauty Femme;Elizabeth Arden;Eau de Parfum;30;19.9;66.33333333333333
Modern Muse Chic;EstÃ©e Lauder;Eau de Parfum;50;54.9;109.79999999999998
Modern Muse;EstÃ©e Lauder;Eau de Parfum;100;64.9;64.9
Modern Muse Chic;EstÃ©e Lauder;Eau de Parfum;100;64.9;64.9
Naomi Campbell;Naomi Campbell;Eau de Toilette;50;32.9;65.8
Ma Vie Pour Femme;Hugo Boss;Eau de Parfum;50;49.9;99.8
Black Opium;Yves Saint Laurent;Eau de Parfum;30;59.9;199.66666666666666
Omnia Coral;Bulgari;Eau de Toilette;40;42.9;107.25
Classique Femme;Jean Paul Gaultier;Eau de Toilette;50;59.9;119.8
Euphoria;Calvin Klein;Eau de Parfum;50;35.9;71.8
Roma;Laura Biagiotti;Eau de Toilette;50;39.9;79.8
Angel;Thierry Mugler;Eau de Parfum;25;59.9;239.6
Crystal Noir;Versace;Eau de Toilette;50;54.9;109.79999999999998
Nina;Nina Ricci;Eau de Toilette;30;32.9;109.66666666666667
Signature;ChloÃ©;Eau de Parfum;30;54.9;182.99999999999997
L'Eau d'Issey;Issey Miyake;Eau de Toilette;50;44.9;89.8
Omnia Amethyste;Bulgari;Eau de Toilette;40;42.9;107.25
Red Door;Elizabeth Arden;Eau de Toilette;50;39.9;79.8
Aromatics Elixir;Clinique;Eau de Parfum;25;39.9;159.6
The One;Dolce & Gabbana;Eau de Parfum;30;49.9;166.33333333333334
Boss Woman;Hugo Boss;Eau de Parfum;50;39.9;79.8
Nuit Pour Femme;Hugo Boss;Eau de Parfum;50;49.9;99.8
Hypnotic Poison;Dior;Eau de Toilette;50;69.9;139.8
Amor Amor;Cacharel;Eau de Toilette;30;34.9;116.33333333333333
Mitsouko;Guerlain;Eau de Toilette;50;49.9;99.8
Cool Water Woman;Davidoff;Eau de Toilette;50;29.9;59.8
Fleur Musc;Narciso Rodriguez;Eau de Parfum;50;59.9;119.8
Sunflower Femme;Elizabeth Arden;Eau de Toilette;30;12.9;43.0
Green Tea;Elizabeth Arden;Eau de Parfum;50;12.9;25.8
Bright Crystal;Versace;Eau de Toilette;50;44.9;89.8
Magnetism;Escada;Eau de Parfum;75;44.9;59.86666666666667
Glam X Femme;Christina Aguilera;Eau de Parfum;60;26.9;44.83333333333333
Fleur de PÃªcher;Karl Lagerfeld;Eau de Parfum;100;24.9;24.9
J'adore;Dior;Eau de Parfum;30;59.9;199.66666666666666
Deep Euphoria;Calvin Klein;Eau de Toilette;100;49.9;49.9
Omnia Pink Sapphire;Bulgari;Eau de Toilette;25;34.9;139.6
Twilly d';HermÃ¨s;Eau de Parfum;50;64.9;129.8
Izia Femme;Sisley;Eau de Parfum;30;39.9;132.99999999999997
White Linen;EstÃ©e Lauder;Eau de Parfum;60;49.9;83.16666666666667
Collection Femme;Musk;Eau de Parfum;50;19.9;39.8
Cool Water Woman;Davidoff;Eau de Toilette;30;19.9;66.33333333333333
Eau Soleil Femme;Biotherm;Eau de Toilette;100;37.9;37.9
Giorgio Beverly Hills Yellow Femme;Giorgio Armani;Eau de Toilette;30;14.9;49.66666666666667
Eau Relax;Biotherm;Bodyspray;100;37.9;37.9
Ã‰clat dâ€™ArpÃ¨ge;Lanvin;Eau de Parfum;30;24.9;83.0
Celebrate N.O.W.;Escada;Eau de Parfum;50;44.9;89.8
Fiesta Carioca;Escada;Eau de Toilette;50;36.9;73.8
I Love Love Femme;Moschino;Eau de Toilette;30;29.9;99.66666666666666
GrÃ¨s  Femme;Cabotine;Eau de Toilette;100;24.9;24.9
Charlie Blue;Revlon;Eau de Toilette;100;9.9;9.9
Luna;Nina Ricci;Eau de Toilette;50;39.9;79.8
La vie est belle Florale;LancÃ´me;Eau de Toilette;50;59.9;119.8
Maroussia;Slava Zaitsev;Eau de Toilette;100;14.9;14.899999999999999
Sun Shake Women;Jil Sander;Eau de Toilette;100;27.9;27.9
Simply Violet Femme;Jil Sander;Eau de Parfum;40;29.9;74.75
La vie est belle L'Ã‰clat;LancÃ´me;Eau de Parfum;50;64.9;129.8
S. Oliver Women;s.Oliver;Eau de Toilette;30;14.9;49.66666666666667
Sun di Gioia;Giorgio Armani;Eau de Parfum;50;59.9;119.8
Loulou;Cacharel;Eau de Parfum;30;34.9;116.33333333333333
Opium;Yves Saint Laurent;Eau de Toilette;30;49.9;166.33333333333334
5th Avenue Femme;Elizabeth Arden;Eau de Parfum;30;11.9;39.666666666666664
Omnia Paraiba;Bulgari;Eau de Toilette;40;29.9;74.75
Naomi Campbell;Naomi Campbell;Eau de Toilette;30;25.5;85.0
La Petite Robe Noire;Guerlain;Eau de Parfum;50;64.9;129.8
Eternity;Calvin Klein;Eau de Parfum;50;39.9;79.8
L'Eau Par Ke Femme;Kenzo;Eau de Toilette;30;29.9;99.66666666666666
Rush;Gucci;Eau de Toilette;30;44.9;149.66666666666666
Femme;Hugo Boss;Eau de Parfum;50;44.9;89.8
Femme;JOOP!;Eau de Toilette;100;34.9;34.9
Femme;Gabriela Sabatini;Eau de Toilette;60;23.9;39.83333333333333
Mon Paris;Yves Saint Laurent;Eau de Parfum;30;49.9;166.33333333333334
Mon;Guerlain;Eau de Parfum;50;59.9;119.8
Signature Night;Christina Aguilera;Bodyspray;236;7.9;3.347457627118644
Signature;Christina Aguilera;Bodyspray;236;7.9;3.347457627118644
La vie est belle Florale;LancÃ´me;Eau de Toilette;100;79.9;79.9
1981;Guess;Eau de Toilette;100;39.9;39.9
Bloom;Gucci;Eau de Parfum;50;69.9;139.8
Aromatics Black Cherry;Clinique;Eau de Parfum;100;24.95;24.95
Rose;Cabotine;Eau de Parfum;100;24.9;24.9
L'eau de;ChloÃ©;Eau de Toilette;30;44.9;149.66666666666666
Aura;Thierry Mugler;Eau de Parfum;50;69.9;139.8
Mon;Guerlain;Eau de Parfum;30;49.9;166.33333333333334
White Tea;Elizabeth Arden;Eau de Toilette;30;19.9;66.33333333333333
La Petite Robe Noire;Guerlain;Eau de Parfum;30;39.9;132.99999999999997
Fleurs De Shanghai Noir Femme;Blue Up;Eau de Parfum;100;9.9;9.9
Girl;Guess;Eau de Toilette;100;39.9;39.9
Temptation;Victoria's Secret;Bodyspray;250;13.9;5.5600000000000005
Amber Romance;Victoria's Secret;Bodyspray;250;13.9;5.5600000000000005
Femme;Christina Aguilera;Eau de Parfum;50;24.9;49.8
Euphoria;Calvin Klein;Eau de Parfum;100;44.9;44.9
The Scent For Her;Hugo Boss;Eau de Parfum;30;49.9;166.33333333333334
OlympÃ©a;Paco Rabanne;Eau de Parfum;50;59.9;119.8
Omnia Indian Garnet;Bulgari;Eau de Toilette;40;42.9;107.25
Women;Bruno Banani;Eau de Toilette;40;24.9;62.24999999999999
La Femme;Prada;Eau de Parfum;50;64.9;129.8
Coco Femme;Rainbow;Eau de Toilette;50;5.9;11.8
LÃ cosa Femme;Rainbow;Eau de Toilette;50;5.9;11.8
Amor Amor;Cacharel;Eau de Toilette;50;39.9;79.8
Angel Heart Femme;Blue Up;Eau de Parfum;100;9.9;9.9
ck2 Unisex;Calvin Klein;Eau de Toilette;100;39.9;39.9
Bamboo;Gucci;Eau de Parfum;30;44.9;149.66666666666666
007 for Women II;James Bond;Eau de Parfum;30;22.9;76.33333333333333
Selection Women Superior;s.Oliver;Eau de Toilette;30;17.9;59.66666666666666
PiÃ¨ce Unique Femme;GrÃ¨s;Eau de Toilette;50;15.9;31.8
Magnetism;Escada;Eau de Parfum;50;39.9;79.8
Goldea;Bulgari;Eau de Parfum;25;39.9;159.6
Black Woman;Mexx;Eau de Toilette;30;19.9;66.33333333333333
Collection Glamour Femme  Natural Spray;Musk;Eau de Parfum;50;19.9;39.8
Miss;Dior;Eau de Parfum;30;64.9;216.33333333333334
OlympÃ©a;Paco Rabanne;Eau de Parfum;30;44.9;149.66666666666666
Glow;J.Lo;Eau de Toilette;30;24.9;83.0
TrÃ©sor Midnight Rose;LancÃ´me;Eau de Parfum;50;59.9;119.8
Dare;Guess;Eau de Toilette;50;29.9;59.8
Signature Femme;Roberto Cavalli;Eau de Parfum;30;37.9;126.33333333333331
Jil Femme;Jil Sander;Eau de Parfum;30;39.9;132.99999999999997
Paris;Yves Saint Laurent;Eau de Toilette;75;69.9;93.2
Si Women;Rainbow;Eau de Toilette;50;5.9;11.8
